Unnamed: 0,Product_Name,Category_Path,Brand_Name,Raw_Description,Price_String
0,smartwatch series x,Accessories > Adapters > Wearables > Smartwatches,   Clicky   ,Affordable office laptop with long battery efficiency.,831
1,Gaming Desktop RTX 4070,Tech > Audio>  Speakers,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,$1826.26
2,Budget Office Laptop 15,ELECTRONICS > LAPTOPS,SoundX,Ultra thin lightweight laptop for everyday office work.,$614.99
3,SLIM ULTRABOOK 14-INCH,Accessories > Adapters & Hubs,techcorp,Mechanical keyboard with tactile RGB switches.,"$1,476.81"
4,Gaming Desktop RTX 4070,Wearables > Smartwatches,SoundX,Mechanical keyboard with tactile RGB switches.,
5,BLUETOOTH PARTY SPEAKER,Electronics > Laptops,TechCorp,Smart watch with heart rate monitor and GPS tracking.,
6,SLIM ULTRABOOK 14-INCH,Audio > Headphones,   Apple   ,Powerful gaming desktop PC with liquid cooling.,$781.96
7,UNKNOWN PRODUCT,Accessories > Mouse,Apple,Ergonomic wireless optical mouse with quiet clicks.,1519
8,Smartwatch Series X,ELECTRONICS > LAPTOPS,Apple,Ergonomic wireless optical mouse with quiet clicks.,₹34688.03
9,PROBOOK ULTRA LAPTOP 15-INCH,,TechCorp,Smart watch with heart rate monitor and GPS tracking.,-1341.29
10,USB-C Multiport Hub,Accessories > Mouse,,,PRICE: $1853.75
11,SLIM ULTRABOOK 14-INCH,Accessories > Adapters & Hubs,   TechCorp   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$1612.65
12,   Ergonomic Wireless Mouse   ,Audio > Wireless > Earbuds,Apple,Compact wireless earbuds with deep bass. <br>Waterproof!,₹112418.96
13,   Workstation Laptop Pro 16   ,Tech > Audio > Speakers,Apple,Professional studio monitor wired headphones for audio mixing.,-1024.93
14,BUDGET OFFICE LAPTOP 15,Audio > Headphones,   LogiTech   ,Mechanical keyboard with tactile RGB switches.,
15,   Slim Ultrabook 14-inch   ,,techcorp,Premium wireless over-ear headphones with active noise cancellation.,$1683.42
16,air lite wireless earbuds,Audio > Wireless > Earbuds,Clicky,Powerful gaming desktop PC with liquid cooling.,$1425.85
17,SLIM ULTRABOOK 14-INCH,Accessories > Adapters & Hubs,,Smart watch with heart rate monitor and GPS tracking.,$234.06
18,UNKNOWN PRODUCT,Audio > Headphones,Zenith,Powerful gaming desktop PC with liquid cooling.,1441.06 USD
19,SLIM ULTRABOOK 14-INCH,Accessories > Adapters & Hubs,,High performance workstation laptop built for video editing.,₹148725.18
20,bluetooth party speaker,Electronics > Computers > Laptops,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $1420.27
